drummer,session,id,style,bpm,beat_type,time_signature,midi_filename,audio_filename,duration,split
drummer1,drummer1/session1,drummer1/session1/109,funk,95,fill,4-4,drummer1/session1/109_funk_95_fill_4-4.mid,drummer1/session1/109_funk_95_fill_4-4.wav,4.655256,train
drummer1,drummer1/session1,drummer1/session1/11,jazz/funk,116,fill,4-4,drummer1/session1/11_jazz-funk_116_fill_4-4.mid,drummer1/session1/11_jazz-funk_116_fill_4-4.wav,1.863145,train
drummer1,drummer1/session1,drummer1/session1/110,funk,95,fill,4-4,drummer1/session1/110_funk_95_fill_4-4.mid,drummer1/session1/110_funk_95_fill_4-4.wav,4.690782,train
drummer1,drummer1/session1,drummer1/session1/111,funk,95,fill,4-4,drummer1/session1/111_funk_95_fill_4-4.mid,drummer1/session1/111_funk_95_fill_4-4.wav,2.003944,train
drummer1,drummer1/session1,drummer1/session1/112,funk,95,fill,4-4,drummer1/session1/112_funk_95_fill_4-4.mid,drummer1/session1/112_funk_95_fill_4-4.wav,4.738151,train
drummer1,drummer1/session1,drummer1/session1/113,funk,95,fill,4-4,drummer1/session1/113_funk_95_fill_4-4.mid,drummer1/session1/113_funk_95_fill_4-4.wav,4.792098,train
drummer1,drummer1/session1,drummer1/session1/114,funk,95,fill,4-4,drummer1/session1/114_funk_95_fill_4-4.mid,drummer1/session1/114_funk_95_fill_4-4.wav,2.264470,train
drummer1,drummer1/session1,drummer1/session1/115,funk,95,fill,4-4,drummer1/session1/115_funk_95_fill_4-4.mid,drummer1/session1/115_funk_95_fill_4-4.wav,1.990786,train
drummer1,drummer1/session1,drummer1/session1/116,funk,95,fill,4-4,drummer1/session1/116_funk_95_fill_4-4.mid,drummer1/session1/116_funk_95_fill_4-4.wav,2.121049,train
drummer1,drummer1/session1,drummer1/session1/117,funk,95,fill,4-4,drummer1/session1/117_funk_95_fill_4-4.mid,drummer1/session1/117_funk_95_fill_4-4.wav,2.172365,train
drummer1,drummer1/session1,drummer1/session1/118,funk,95,fill,4-4,drummer1/session1/118_funk_95_fill_4-4.mid,drummer1/session1/118_funk_95_fill_4-4.wav,1.976313,train
drummer1,drummer1/session1,drummer1/session1/119,funk,95,fill,4-4,drummer1/session1/119_funk_95_fill_4-4.mid,drummer1/session1/119_funk_95_fill_4-4.wav,2.001313,train
drummer1,drummer1/session1,drummer1/session1/12,jazz/funk,116,fill,4-4,drummer1/session1/12_jazz-funk_116_fill_4-4.mid,drummer1/session1/12_jazz-funk_116_fill_4-4.wav,1.608835,train
drummer1,drummer1/session1,drummer1/session1/120,funk,95,fill,4-4,drummer1/session1/120_funk_95_fill_4-4.mid,drummer1/session1/120_funk_95_fill_4-4.wav,2.134207,train
drummer1,drummer1/session1,drummer1/session1/121,funk,95,fill,4-4,drummer1/session1/121_funk_95_fill_4-4.mid,drummer1/session1/121_funk_95_fill_4-4.wav,1.981576,validation
drummer1,drummer1/session1,drummer1/session1/122,funk,95,fill,4-4,drummer1/session1/122_funk_95_fill_4-4.mid,drummer1/session1/122_funk_95_fill_4-4.wav,1.980260,train
drummer1,drummer1/session1,drummer1/session1/123,funk,95,fill,4-4,drummer1/session1/123_funk_95_fill_4-4.mid,drummer1/session1/123_funk_95_fill_4-4.wav,2.253944,train
drummer1,drummer1/session1,drummer1/session1/124,funk,95,fill,4-4,drummer1/session1/124_funk_95_fill_4-4.mid,drummer1/session1/124_funk_95_fill_4-4.wav,2.264470,train
drummer1,drummer1/session1,drummer1/session1/125,funk,95,fill,4-4,drummer1/session1/125_funk_95_fill_4-4.mid,drummer1/session1/125_funk_95_fill_4-4.wav,2.259207,train
drummer1,drummer1/session1,drummer1/session1/126,funk/fast,125,beat,4-4,drummer1/session1/126_funk-fast_125_beat_4-4.mid,drummer1/session1/126_funk-fast_125_beat_4-4.wav,137.380000,validation
drummer1,drummer1/session1,drummer1/session1/127,funk/fast,125,fill,4-4,drummer1/session1/127_funk-fast_125_fill_4-4.mid,drummer1/session1/127_funk-fast_125_fill_4-4.wav,1.763000,train
drummer1,drummer1/session1,drummer1/session1/128,funk/fast,125,fill,4-4,drummer1/session1/128_funk-fast_125_fill_4-4.mid,drummer1/session1/128_funk-fast_125_fill_4-4.wav,1.521000,train
drummer1,drummer1/session1,drummer1/session1/129,funk/fast,125,fill,4-4,drummer1/session1/129_funk-fast_125_fill_4-4.mid,drummer1/session1/129_funk-fast_125_fill_4-4.wav,1.770000,train
drummer1,drummer1/session1,drummer1/session1/13,jazz/funk,116,fill,4-4,drummer1/session1/13_jazz-funk_116_fill_4-4.mid,drummer1/session1/13_jazz-funk_116_fill_4-4.wav,1.845904,train
drummer1,drummer1/session1,drummer1/session1/130,funk/fast,125,fill,4-4,drummer1/session1/130_funk-fast_125_fill_4-4.mid,drummer1/session1/130_funk-fast_125_fill_4-4.wav,1.499000,train
drummer1,drummer1/session1,drummer1/session1/131,funk/fast,125,fill,4-4,drummer1/session1/131_funk-fast_125_fill_4-4.mid,drummer1/session1/131_funk-fast_125_fill_4-4.wav,1.533000,train
drummer1,drummer1/session1,drummer1/session1/132,funk/fast,125,fill,4-4,drummer1/session1/132_funk-fast_125_fill_4-4.mid,drummer1/session1/132_funk-fast_125_fill_4-4.wav,3.471000,train
drummer1,drummer1/session1,drummer1/session1/133,funk/fast,125,fill,4-4,drummer1/session1/133_funk-fast_125_fill_4-4.mid,drummer1/session1/133_funk-fast_125_fill_4-4.wav,1.654000,validation
drummer1,drummer1/session1,drummer1/session1/134,funk/fast,125,fill,4-4,drummer1/session1/134_funk-fast_125_fill_4-4.mid,drummer1/session1/134_funk-fast_125_fill_4-4.wav,1.750000,train
drummer1,drummer1/session1,drummer1/session1/135,funk/fast,125,fill,4-4,drummer1/session1/135_funk-fast_125_fill_4-4.mid,drummer1/session1/135_funk-fast_125_fill_4-4.wav,1.927000,train
drummer1,drummer1/session1,drummer1/session1/136,funk/fast,125,fill,4-4,drummer1/session1/136_funk-fast_125_fill_4-4.mid,drummer1/session1/136_funk-fast_125_fill_4-4.wav,1.778000,train
drummer1,drummer1/session1,drummer1/session1/137,funk/fast,125,fill,4-4,drummer1/session1/137_funk-fast_125_fill_4-4.mid,drummer1/session1/137_funk-fast_125_fill_4-4.wav,1.547000,train
drummer1,drummer1/session1,drummer1/session1/138,funk/fast,125,fill,4-4,drummer1/session1/138_funk-fast_125_fill_4-4.mid,drummer1/session1/138_funk-fast_125_fill_4-4.wav,1.506000,train
drummer1,drummer1/session1,drummer1/session1/139,funk/fast,125,fill,4-4,drummer1/session1/139_funk-fast_125_fill_4-4.mid,drummer1/session1/139_funk-fast_125_fill_4-4.wav,1.652000,train
drummer1,drummer1/session1,drummer1/session1/14,jazz/funk,116,fill,4-4,drummer1/session1/14_jazz-funk_116_fill_4-4.mid,drummer1/session1/14_jazz-funk_116_fill_4-4.wav,3.673489,train
drummer1,drummer1/session1,drummer1/session1/140,funk/fast,125,fill,4-4,drummer1/session1/140_funk-fast_125_fill_4-4.mid,drummer1/session1/140_funk-fast_125_fill_4-4.wav,1.620000,validation
drummer1,drummer1/session1,drummer1/session1/141,funk/fast,125,fill,4-4,drummer1/session1/141_funk-fast_125_fill_4-4.mid,drummer1/session1/141_funk-fast_125_fill_4-4.wav,1.896000,test
drummer1,drummer1/session1,drummer1/session1/142,funk/fast,125,fill,4-4,drummer1/session1/142_funk-fast_125_fill_4-4.mid,drummer1/session1/142_funk-fast_125_fill_4-4.wav,1.921000,train
drummer1,drummer1/session1,drummer1/session1/143,funk/fast,125,fill,4-4,drummer1/session1/143_funk-fast_125_fill_4-4.mid,drummer1/session1/143_funk-fast_125_fill_4-4.wav,1.748000,train
drummer1,drummer1/session1,drummer1/session1/144,funk/fast,125,fill,4-4,drummer1/session1/144_funk-fast_125_fill_4-4.mid,drummer1/session1/144_funk-fast_125_fill_4-4.wav,1.632000,train
drummer1,drummer1/session1,drummer1/session1/145,latin/brazilian-baiao,95,beat,4-4,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.mid,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.wav,30.060481,validation
drummer1,drummer1/session1,drummer1/session1/146,latin/brazilian-baiao,95,beat,4-4,drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.mid,drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.wav,214.624678,train
drummer1,drummer1/session1,drummer1/session1/147,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/147_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/147_latin-brazilian-baiao_95_fill_4-4.wav,2.106576,validation
drummer1,drummer1/session1,drummer1/session1/148,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/148_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/148_latin-brazilian-baiao_95_fill_4-4.wav,2.389470,train
drummer1,drummer1/session1,drummer1/session1/149,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/149_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/149_latin-brazilian-baiao_95_fill_4-4.wav,1.981576,train
drummer1,drummer1/session1,drummer1/session1/15,jazz/funk,116,fill,4-4,drummer1/session1/15_jazz-funk_116_fill_4-4.mid,drummer1/session1/15_jazz-funk_116_fill_4-4.wav,3.731678,train
drummer1,drummer1/session1,drummer1/session1/150,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/150_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/150_latin-brazilian-baiao_95_fill_4-4.wav,2.413154,train
drummer1,drummer1/session1,drummer1/session1/151,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/151_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/151_latin-brazilian-baiao_95_fill_4-4.wav,2.422365,train
drummer1,drummer1/session1,drummer1/session1/152,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/152_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/152_latin-brazilian-baiao_95_fill_4-4.wav,2.256576,train
drummer1,drummer1/session1,drummer1/session1/153,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/153_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/153_latin-brazilian-baiao_95_fill_4-4.wav,2.396049,test
drummer1,drummer1/session1,drummer1/session1/154,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/154_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/154_latin-brazilian-baiao_95_fill_4-4.wav,2.481575,train
drummer1,drummer1/session1,drummer1/session1/155,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/155_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/155_latin-brazilian-baiao_95_fill_4-4.wav,2.471049,train
drummer1,drummer1/session1,drummer1/session1/156,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/156_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/156_latin-brazilian-baiao_95_fill_4-4.wav,1.997365,train
drummer1,drummer1/session1,drummer1/session1/157,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/157_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/157_latin-brazilian-baiao_95_fill_4-4.wav,2.322365,validation
drummer1,drummer1/session1,drummer1/session1/158,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/158_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/158_latin-brazilian-baiao_95_fill_4-4.wav,2.294733,train
drummer1,drummer1/session1,drummer1/session1/159,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/159_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/159_latin-brazilian-baiao_95_fill_4-4.wav,2.261839,train
drummer1,drummer1/session1,drummer1/session1/16,jazz/funk,116,fill,4-4,drummer1/session1/16_jazz-funk_116_fill_4-4.mid,drummer1/session1/16_jazz-funk_116_fill_4-4.wav,3.661635,validation
drummer1,drummer1/session1,drummer1/session1/160,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/160_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/160_latin-brazilian-baiao_95_fill_4-4.wav,2.278944,train
drummer1,drummer1/session1,drummer1/session1/161,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/161_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/161_latin-brazilian-baiao_95_fill_4-4.wav,2.464470,train
drummer1,drummer1/session1,drummer1/session1/162,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/162_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/162_latin-brazilian-baiao_95_fill_4-4.wav,1.978944,validation
drummer1,drummer1/session1,drummer1/session1/163,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/163_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/163_latin-brazilian-baiao_95_fill_4-4.wav,2.278944,train
drummer1,drummer1/session1,drummer1/session1/164,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/164_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/164_latin-brazilian-baiao_95_fill_4-4.wav,2.101313,train
drummer1,drummer1/session1,drummer1/session1/165,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/165_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/165_latin-brazilian-baiao_95_fill_4-4.wav,2.263154,train
drummer1,drummer1/session1,drummer1/session1/166,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/166_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/166_latin-brazilian-baiao_95_fill_4-4.wav,2.399996,test
drummer1,drummer1/session1,drummer1/session1/167,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/167_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/167_latin-brazilian-baiao_95_fill_4-4.wav,2.293418,train
drummer1,drummer1/session1,drummer1/session1/168,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/168_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/168_latin-brazilian-baiao_95_fill_4-4.wav,2.396049,train
drummer1,drummer1/session1,drummer1/session1/169,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/169_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/169_latin-brazilian-baiao_95_fill_4-4.wav,2.586838,train
drummer1,drummer1/session1,drummer1/session1/17,jazz/funk,116,fill,4-4,drummer1/session1/17_jazz-funk_116_fill_4-4.mid,drummer1/session1/17_jazz-funk_116_fill_4-4.wav,3.946118,validation
drummer1,drummer1/session1,drummer1/session1/170,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/170_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/170_latin-brazilian-baiao_95_fill_4-4.wav,2.555259,train
drummer1,drummer1/session1,drummer1/session1/171,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/171_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/171_latin-brazilian-baiao_95_fill_4-4.wav,2.293418,validation
drummer1,drummer1/session1,drummer1/session1/172,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/172_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/172_latin-brazilian-baiao_95_fill_4-4.wav,2.485523,train
drummer1,drummer1/session1,drummer1/session1/173,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/173_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/173_latin-brazilian-baiao_95_fill_4-4.wav,2.460523,train
drummer1,drummer1/session1,drummer1/session1/174,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/174_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/174_latin-brazilian-baiao_95_fill_4-4.wav,2.310523,train
drummer1,drummer1/session1,drummer1/session1/175,latin/brazilian-baiao,95,fill,4-4,drummer1/session1/175_latin-brazilian-baiao_95_fill_4-4.mid,drummer1/session1/175_latin-brazilian-baiao_95_fill_4-4.wav,2.453944,train
drummer1,drummer1/session1,drummer1/session1/176,afrocuban,105,beat,4-4,drummer1/session1/176_afrocuban_105_beat_4-4.mid,drummer1/session1/176_afrocuban_105_beat_4-4.wav,223.750967,train
drummer1,drummer1/session1,drummer1/session1/177,afrocuban,105,fill,4-4,drummer1/session1/177_afrocuban_105_fill_4-4.mid,drummer1/session1/177_afrocuban_105_fill_4-4.wav,2.036903,train
drummer1,drummer1/session1,drummer1/session1/178,afrocuban,105,fill,4-4,drummer1/session1/178_afrocuban_105_fill_4-4.mid,drummer1/session1/178_afrocuban_105_fill_4-4.wav,2.053569,train
drummer1,drummer1/session1,drummer1/session1/179,afrocuban,105,fill,4-4,drummer1/session1/179_afrocuban_105_fill_4-4.mid,drummer1/session1/179_afrocuban_105_fill_4-4.wav,2.066665,train
drummer1,drummer1/session1,drummer1/session1/18,jazz/funk,116,fill,4-4,drummer1/session1/18_jazz-funk_116_fill_4-4.mid,drummer1/session1/18_jazz-funk_116_fill_4-4.wav,3.780170,test
drummer1,drummer1/session1,drummer1/session1/180,afrocuban,105,fill,4-4,drummer1/session1/180_afrocuban_105_fill_4-4.mid,drummer1/session1/180_afrocuban_105_fill_4-4.wav,2.082141,train
drummer1,drummer1/session1,drummer1/session1/181,afrocuban,105,fill,4-4,drummer1/session1/181_afrocuban_105_fill_4-4.mid,drummer1/session1/181_afrocuban_105_fill_4-4.wav,1.714284,train
drummer1,drummer1/session1,drummer1/session1/182,afrocuban,105,fill,4-4,drummer1/session1/182_afrocuban_105_fill_4-4.mid,drummer1/session1/182_afrocuban_105_fill_4-4.wav,2.359521,train
drummer1,drummer1/session1,drummer1/session1/183,afrocuban,105,beat,4-4,drummer1/session1/183_afrocuban_105_beat_4-4.mid,drummer1/session1/183_afrocuban_105_beat_4-4.wav,134.383199,train
drummer1,drummer1/session1,drummer1/session1/184,reggae,78,beat,4-4,drummer1/session1/184_reggae_78_beat_4-4.mid,drummer1/session1/184_reggae_78_beat_4-4.wav,114.703411,train
drummer1,drummer1/session1,drummer1/session1/185,reggae,78,fill,4-4,drummer1/session1/185_reggae_78_fill_4-4.mid,drummer1/session1/185_reggae_78_fill_4-4.wav,2.738779,train
drummer1,drummer1/session1,drummer1/session1/186,reggae,78,fill,4-4,drummer1/session1/186_reggae_78_fill_4-4.mid,drummer1/session1/186_reggae_78_fill_4-4.wav,2.910253,train
drummer1,drummer1/session1,drummer1/session1/187,reggae,78,fill,4-4,drummer1/session1/187_reggae_78_fill_4-4.mid,drummer1/session1/187_reggae_78_fill_4-4.wav,2.749997,train
drummer1,drummer1/session1,drummer1/session1/188,reggae,78,fill,4-4,drummer1/session1/188_reggae_78_fill_4-4.mid,drummer1/session1/188_reggae_78_fill_4-4.wav,2.775638,train
drummer1,drummer1/session1,drummer1/session1/189,reggae,78,fill,4-4,drummer1/session1/189_reggae_78_fill_4-4.mid,drummer1/session1/189_reggae_78_fill_4-4.wav,2.782048,test
drummer1,drummer1/session1,drummer1/session1/19,jazz/funk,116,fill,4-4,drummer1/session1/19_jazz-funk_116_fill_4-4.mid,drummer1/session1/19_jazz-funk_116_fill_4-4.wav,1.774783,train
drummer1,drummer1/session1,drummer1/session1/190,reggae,78,fill,4-4,drummer1/session1/190_reggae_78_fill_4-4.mid,drummer1/session1/190_reggae_78_fill_4-4.wav,2.764420,train
drummer1,drummer1/session1,drummer1/session1/191,reggae,78,fill,4-4,drummer1/session1/191_reggae_78_fill_4-4.mid,drummer1/session1/191_reggae_78_fill_4-4.wav,2.594549,train
drummer1,drummer1/session1,drummer1/session1/192,reggae,78,fill,4-4,drummer1/session1/192_reggae_78_fill_4-4.mid,drummer1/session1/192_reggae_78_fill_4-4.wav,2.328523,train
drummer1,drummer1/session1,drummer1/session1/193,reggae,78,fill,4-4,drummer1/session1/193_reggae_78_fill_4-4.mid,drummer1/session1/193_reggae_78_fill_4-4.wav,2.336536,train
drummer1,drummer1/session1,drummer1/session1/194,reggae,78,fill,4-4,drummer1/session1/194_reggae_78_fill_4-4.mid,drummer1/session1/194_reggae_78_fill_4-4.wav,2.730766,test
drummer1,drummer1/session1,drummer1/session1/195,reggae,78,fill,4-4,drummer1/session1/195_reggae_78_fill_4-4.mid,drummer1/session1/195_reggae_78_fill_4-4.wav,3.088138,train
drummer1,drummer1/session1,drummer1/session1/196,reggae,78,fill,4-4,drummer1/session1/196_reggae_78_fill_4-4.mid,drummer1/session1/196_reggae_78_fill_4-4.wav,2.766023,validation
drummer1,drummer1/session1,drummer1/session1/197,reggae,78,fill,4-4,drummer1/session1/197_reggae_78_fill_4-4.mid,drummer1/session1/197_reggae_78_fill_4-4.wav,2.780446,train
drummer1,drummer1/session1,drummer1/session1/198,reggae,78,fill,4-4,drummer1/session1/198_reggae_78_fill_4-4.mid,drummer1/session1/198_reggae_78_fill_4-4.wav,2.767625,train
drummer1,drummer1/session1,drummer1/session1/199,reggae,78,fill,4-4,drummer1/session1/199_reggae_78_fill_4-4.mid,drummer1/session1/199_reggae_78_fill_4-4.wav,2.365382,train
drummer1,drummer1/session1,drummer1/session1/2,funk,80,beat,4-4,drummer1/session1/2_funk_80_beat_4-4.mid,drummer1/session1/2_funk_80_beat_4-4.wav,86.914062,validation
drummer1,drummer1/session1,drummer1/session1/20,jazz/funk,116,fill,4-4,drummer1/session1/20_jazz-funk_116_fill_4-4.mid,drummer1/session1/20_jazz-funk_116_fill_4-4.wav,1.784481,train
drummer1,drummer1/session1,drummer1/session1/200,reggae,78,fill,4-4,drummer1/session1/200_reggae_78_fill_4-4.mid,drummer1/session1/200_reggae_78_fill_4-4.wav,2.764420,train
drummer1,drummer1/session1,drummer1/session1/201,reggae/slow,64,beat,4-4,drummer1/session1/201_reggae-slow_64_beat_4-4.mid,drummer1/session1/201_reggae-slow_64_beat_4-4.wav,112.148438,train
drummer1,drummer1/session1,drummer1/session1/202,rock/halftime,140,beat,4-4,drummer1/session1/202_rock-halftime_140_beat_4-4.mid,drummer1/session1/202_rock-halftime_140_beat_4-4.wav,216.645319,train
drummer1,drummer1/session1,drummer1/session1/203,rock/halftime,140,fill,4-4,drummer1/session1/203_rock-halftime_140_fill_4-4.mid,drummer1/session1/203_rock-halftime_140_fill_4-4.wav,3.273211,validation
drummer1,drummer1/session1,drummer1/session1/204,rock/halftime,140,fill,4-4,drummer1/session1/204_rock-halftime_140_fill_4-4.mid,drummer1/session1/204_rock-halftime_140_fill_4-4.wav,3.067854,train
drummer1,drummer1/session1,drummer1/session1/205,rock/halftime,140,fill,4-4,drummer1/session1/205_rock-halftime_140_fill_4-4.mid,drummer1/session1/205_rock-halftime_140_fill_4-4.wav,3.082140,validation
drummer1,drummer1/session1,drummer1/session1/206,rock/halftime,140,fill,4-4,drummer1/session1/206_rock-halftime_140_fill_4-4.mid,drummer1/session1/206_rock-halftime_140_fill_4-4.wav,3.087497,train
drummer1,drummer1/session1,drummer1/session1/207,rock/halftime,140,fill,4-4,drummer1/session1/207_rock-halftime_140_fill_4-4.mid,drummer1/session1/207_rock-halftime_140_fill_4-4.wav,2.623212,test
drummer1,drummer1/session1,drummer1/session1/208,rock/halftime,140,fill,4-4,drummer1/session1/208_rock-halftime_140_fill_4-4.mid,drummer1/session1/208_rock-halftime_140_fill_4-4.wav,0.951785,train
drummer1,drummer1/session1,drummer1/session1/209,rock/halftime,140,fill,4-4,drummer1/session1/209_rock-halftime_140_fill_4-4.mid,drummer1/session1/209_rock-halftime_140_fill_4-4.wav,1.365177,train
